Name,Committee ID,Treasurer,Street_1,Street_2,City,ZIP code,state,Connected Org Name,Political Orientation,Filing frequency,Total receipts (includes both itemized and unitemized contributions),Total unitemized contributions,cash on hand,last report date,total IEs,IEs support dems,IEs oppose dems,IEs support reps,IEs oppose reps
MAJORITY PROJECT,C00520783,TONY MARSH,C/O SAVANNA,601 13TH STREET NW ELEVENTH FLOOR,WASHINGTON,20005,DC,,Unassigned,Quarterly,,,,,0,0,0,0,0
POLITICAL SUPER PAC,C00520718,DANIELLE OCHOA,715 MICCOSUKEE,,TALLAHASSEE,32308,FL,,Unassigned,Quarterly,,,,,0,0,0,0,0
SOFTER VOICES,C00520791,PETER LIPS,PO BOX 658,,CROSS JUNCTION,22625,VA,,Unassigned,Quarterly,,,,,0,0,0,0,0
UNITY CONVENTION 2012,C00520817,ALIXANDRIA LAPP,700 13TH STREET NW SUITE 600,,WASHINGTON,20005,DC,"PRIORITIES USA ACTION, MAJORITY PAC, H",Unassigned,Quarterly,404164.89,0,174834.91,9/30/12,0,0,0,0,0
"HOWARD STERN FANS FOR A BABA BOOEY TOMORROW, TOMORROW",C00521138,REX PEREZ,21 OZONE AVENUE APT 31,,VENICE,90291,CA,,Unassigned,Quarterly,,,,,0,0,0,0,0
RAPTORS FOR JESUS,C00521120,CLAYTON SPINNER,15 YOUNG STREET FIRST FLOOR,,WILLIMANTIC,6226,CT,,Unassigned,Quarterly,,,,,0,0,0,0,0
STRATEGY FOR AMERICA'S FUTURE,C00521104,SCOTT POLLOCK,3504 RIP FORD DRIVE,,AUSTIN,78732,TX,,Unassigned,Quarterly,,,,,0,0,0,0,0
BRINGIN' SEXY POLITICAL ACTION COMMITTEE,C00521203,TIMOTHY AARON DANFORTH,POST OFFICE BOX #3277,,NEW HAVEN,6515,CT,,Unassigned,Quarterly,,,,,0,0,0,0,0
CONSERVATIVE VALUES PROJECT,C00521237,JAMES E BUNNELL JR,PO BOX 60425,,FT MYERS,33906,FL,,Backs Republicans,Quarterly,135200,0,115066,9/30/12,0,0,0,0,0
TALKIN' SMACK PAC,C00521252,EYCK FREYMANN,299 RIVERSIDE DRIVE APT 1D,,NEW YORK,10025,NY,,Unassigned,Quarterly,,,,,0,0,0,0,0
BEARS FOR A BEARABLE TOMORROW,C00521401,MARKUS JONATHAN SOMMER,412 HUGO ST,,SAN FRANCISCO,94122,CA,,Unassigned,Quarterly,0,0,0,6/30/12,0,0,0,0,0
MARYLANDERS FOR BETTER AMERICANS IN MARYLAND,C00521419,COREY HARRIS,2700 CLASSEN AVE,,BALTIMORE,21215,MD,,Unassigned,Quarterly,,,,,0,0,0,0,0
RECLAIMING FREEDOM PAC,C00521427,BRIAN J WISE,PO BOX 101462,,ARLINGTON,22210,VA,,Unassigned,Quarterly,5311.93,1561.93,435.81,10/17/12,0,0,0,0,0
WIN WISCONSIN,C00521435,THOMAS HAPKA,PO BOX 592,,WHITEWATER,53190,WI,,Unassigned,Quarterly,,,,,0,0,0,0,0
WORKERS ISSUES NETWORK,C00521443,XAVIER MARTINEZ,1531 GRAND AVENUE SUITE D,,SAN MARCOS,92078,CA,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
COLLEGE STUDENTS FOR A BETTER AMERICA,C00521609,MELANIE EUGENIA CHUSID,3161 SPRING HOUSE LN,,HOLLAND,18966,PA,,Unassigned,Quarterly,,,,,0,0,0,0,0
SCIENCE!,C00521567,LOREN C COLLINS,303 PEACHTREE STREET SUITE 4100,,ATLANTA,30308,GA,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
STANDLOUDER.COM PAC INC,C00521591,VICTOR HANNAK,6030 CRESCENTBROOK LANE,,CLEMMONS,27012,NC,,Unassigned,Monthly,4665,0,0,10/17/12,0,0,0,0,0
CONSTITUTIONAL POLITICAL ACTION COMMITTEE; THE (COPAC),C00521716,HARLEY DAVIDSON BORGAIS,1318 WEST 4TH STREET APT A,,TEMPE,85281,AZ,,Unassigned,Quarterly,,,,,0,0,0,0,0
AMERICA IS GREAT PAC,C00521831,PAUL S BOARDMAN,11654 PLAZA AMERICA DRIVE #276,,RESTON,20190,VA,,Unassigned,Quarterly,,,,,0,0,0,0,0
CALIFORNIA CREDIT UNION LEAGUE PAC,C00521799,J RICHARD EICHMAN,1201 K STREET SUITE 1850,,SACRAMENTO,95814,CA,NONE,Unassigned,Quarterly,0,0,0,6/30/12,0,0,0,0,0
"IMMIGRATION911,  LLC",C00495259,STANLEY P DULL,PO BOX 10010,,MANASSAS,20108,VA,,Unassigned,Quarterly,26966.7,1666.7,34163.41,6/30/12,0,0,0,0,0
LIBERTARIAN VICTORY COMMITTEE,C00521856,AUSTIN CASSIDY,3161 ST JOHNS BLUFF RD SUITE 2,,JACKSONVILLE,32246,FL,,Unassigned,Quarterly,,,,,0,0,0,0,0
RIGHT GROUP; THE,C00521823,VIVIAN DUBOSE,PO BOX 18651,,ATLANTA,31126,GA,,Unassigned,Quarterly,20000,0,15162.95,9/30/12,0,0,0,0,0
FUTURE IS OURS; THE,C00521872,CHRISTOPHER JOSEPH MANTEGNA,325 EAST HATHAWAY LANE,,HAVERTOWN,19083,PA,,Unassigned,Quarterly,,,,,0,0,0,0,0
WE SERVED AMERICA,C00521906,CRAIG LIVINGSTON,661 FRANKLIN AVENUE,,NUTLEY,7110,NJ,NONE,Unassigned,Quarterly,11050,650,614.34,9/30/12,0,0,0,0,0
"RAUHMEL FOX IS FOR A BETTER TOMORROW, TOMORROW",C00521971,RAUHMEL FOX ROBINSON,110 PACIFIC AVENUE SUITE 250,,SAN FRANCISCO,94111,CA,N/A (NONCONNECTED),Unassigned,Quarterly,,,,,0,0,0,0,0
A RESPONSIBLE FUTURE,C00522086,STEVEN PAUL LOCKHART,211 SOUTH CEDAR ST,PO BOX 74,HOPE,67451,KS,,Unassigned,Quarterly,,,,,0,0,0,0,0
FIGHT 4 AMERICA,C00521625,WILLIAM BENNETT,19528 VENTURA BLVD SUITE 647,,TARZANA,91356,CA,,Unassigned,Quarterly,6325,774,5425.36,10/17/12,0,0,0,0,0
LARRY AND CHARMAINE'S EXCELLENT NON-CONNECTED BEST EVER SUPERPAC,C00522078,LARRY ZILLIOX,PO BOX 903,,BRISTOW,20136,VA,,Unassigned,Quarterly,,,,,0,0,0,0,0
RESTORE THE AMERICA DREAM,C00522128,WALTER D EDWARDS,1934 ALLESANDRO STREET UNIT #13,,LOS ANGELES,90039,CA,,Unassigned,Quarterly,,,,,0,0,0,0,0
"SAN DIEGANS FOR A BETTER TOMORROW, TOMORROW",C00518456,TYLER MICHAEL BOBIK,4125 PORTILLA PLACE,,SAN DIEGO,92130,CA,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
CONSERVATIVE ACTION COMMITTEE,C00522227,ABBY F DUPREE CPA,PO BOX 1197,,TALLAHASSEE,32302,FL,,Unassigned,Quarterly,0,0,0,10/17/12,0,0,0,0,0
DISASSEMBLY SUPER PAC,C00522292,SPENCER ZIMMERMAN,6403 CRESTWOOD CIRCLE,,MCFARLAND,53558,WI,,Unassigned,Quarterly,,,,,0,0,0,0,0
MASSACHUSETTS FORWARD INC,C00522144,"MARSTON, CHRIS",PO BOX 26141,,ALEXANDRIA,22313,VA,NONE,Unassigned,Quarterly,8000,0,0,7/5/12,0,0,0,0,0
AMERICANS FOR THE WIN TOMORROW,C00522334,MATTHEW LIND,7100 BUCKTHORN COURT,,WAUSAU,54401,WI,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
AMERICAN VETO,C00522441,JERRY P DAVIDIAN,PO BOX 3729,,TELLURIDE,81435,CO,,Unassigned,Quarterly,,,,,0,0,0,0,0
INDIANA REPUBLICAN ASSEMBLY SUPER PAC,C00522474,JD MINIEAR,PO BOX 721,,BEECH GROVE,46107,IN,,Unassigned,Quarterly,,,,,0,0,0,0,0
PROGRESSIVES FOR PROSPERITY,C00522490,REMY SMITH,1419 COLUMBUS AVE,,BURLINGAME,94010,CA,,Unassigned,Quarterly,,,,,0,0,0,0,0
"SLAM DUNKS, FIREWORKS AND EAGLES SUPER PAC",C00522466,DANIEL ADEL BASSALI,2400 M ST NW #1015,,WASHINGTON,20037,DC,,Unassigned,Quarterly,,,,,0,0,0,0,0
TOGETHER WE THRIVE,C00522458,CHRISTOPHER ZULLO,1950 EAST GREYHOUND PASS,SUITE 18-101,CARMEL,46033,IN,,Unassigned,Quarterly,,,,,0,0,0,0,0
TRANSPARENCY FOR AMERICA,C00522243,MICHAEL G ADAMS,801 PENNSYLVANIA AVENUE NW STE 610,,WASHINGTON,20004,DC,,Unassigned,Quarterly,522.1,172.1,0,11/26/12,0,0,0,0,0
ENERGIZE PAC,C00522649,NOELLE FEDERICO,1616 WESTGATE CIRCLE,,BRENTWOOD,37027,TN,,Unassigned,Quarterly,,,,,0,0,0,0,0
PATRIOTIC AMERICANS FOR A MORE PATRIOTIC AND AMERICAN AMERICA,C00522656,ADAM INNES,470 FOX HILLS DR N #8,,BLOOMFIELD HILLS,48304,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
PROGRESSIVE PAC,C00522664,RICHARD OUZOUNIAN,100 EAST FEDERAL STREET SUITE 421,,YOUNGSTOWN,44503,OH,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
TRUE LEADERSHIP FOR OKLAHOMA PAC,C00522748,JAMES D TACKETT,PO BOX 140725,,BROKEN ARROW,74014,OK,,Unassigned,Quarterly,,,,,0,0,0,0,0
LATINO EMPOWERMENT PAC,C00522763,JEFFREY GARCIA,2020 PONCE DE LEON BLVD #1003,,CORAL GABLES,33134,FL,,Unassigned,Quarterly,,,,,0,0,0,0,0
CHRISTIANS FOR THE SEPARATION OF CHURCH AND STATE,C00522805,NAOMI HELENE WASHBURN,11819 SE 171ST LN APT R202,,RENTON,98058,WA,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
ELECT A NEW CONGRESS,C00522839,WILLIAM W FAWELL,617 RIDGE ST,,GALENA,61036,IL,,Unassigned,Quarterly,,,,,0,0,0,0,0
HAVE-NOTS UNITE! HALF-KNOTS UNTIE!,C00522813,DAVID RALPH WANTA,157 TIMBER TRAIL,,MILFORD,6460,CT,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
WE JUST WANT STEPHEN COLBERT TO COME TO OUR COLLEGE SUPERPAC,C00523001,SUSAN EDRA GROGAN,PO BOX 404,,ST MARY'S CITY,20686,MD,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
AFFORDABLE HEALTH CARE FOR AMERICA PAC,C00523159,J BAILEY MORGAN,177 W 26 ST #200,,NEW YORK,10001,NY,,Unassigned,Quarterly,,,,,0,0,0,0,0
AMERICAN ALLIANCE FOR AFRICA PAC,C00523092,J BAILEY MORGAN,177 WEST 26 ST #200,,NEW YORK,10001,NY,,Unassigned,Quarterly,,,,,0,0,0,0,0
CHRISTIANITY IN ACTION PAC,C00523084,J BAILEY MORGAN,177 WEST 26 ST #200,,NEW YORK,10001,NY,,Unassigned,Quarterly,,,,,0,0,0,0,0
CONCERNED VOTERS FOR THE ARTS PAC,C00523076,J BAILEY MORGAN,177 WEST 26 STREET #200,,NEW YORK,10001,NY,,Unassigned,Quarterly,,,,,0,0,0,0,0
IMPROVING LIFE IN THE AMERICAS AND CARIBBEAN PAC,C00523100,J BAILEY MORGAN,177 W 26 ST #200,,NEW YORK,10001,NY,,Unassigned,Quarterly,,,,,0,0,0,0,0
MINNESOTANS FOR MITT'S MONEY,C00518852,IAN THOMAS JOHNSON,1680 THOMAS AVENUE,,SAINT PAUL,55104,MN,,Unassigned,Quarterly,,,,,0,0,0,0,0
PITT PAC,C00523068,DANIEL STOUGH,100 GLENFIELD DRIVE,,PITTSBURGH,15235,PA,,Unassigned,Quarterly,0,0,0,11/29/12,0,0,0,0,0
PROGRESS FOR NATIVE AMERICAN INDIANS BLACKS AND HISPANICS PAC,C00523134,J BAILEY MORGAN,177 W 26 ST #200,,NEW YORK,10001,NY,PROGRESS FOR NATIVE AMERICAN INDIANS B,Unassigned,Quarterly,,,,,0,0,0,0,0
TOWARDS A GREENER AMERICA PAC,C00523118,J BAILEY MORGAN,177 W 26 ST #200,,NEW YORK,10001,NY,,Unassigned,Quarterly,,,,,0,0,0,0,0
URBAN WORKS USA PAC,C00523142,J BAILEY MORGAN,177 WEST 26 STREET #200,,NEW YORK,10001,NY,,Unassigned,Quarterly,,,,,0,0,0,0,0
"CITIZENS FOR PROSPERITY AND REFORM MOVEMENT, LLC",C00523290,BILL SIDHU,2600 MICHELSON DR SUITE #1700,,IRVINE,92612,CA,,Unassigned,Quarterly,,,,,0,0,0,0,0
NATIVE AMERICAN REPUBLICAN SUPER PAC,C00523175,CHARLES H BELL JR,455 CAPITOL MALL SUITE 600,,SACRAMENTO,95814,CA,NONE,Unassigned,Quarterly,0,0,0,10/17/12,0,0,0,0,0
"HOOSIERS AND BOILERS FOR A BETTER TOMORROW, TOMORROW",C00523514,SETH P KRESOVSKY,3620 LITCHFIELD LN,,WEST LAFAYETTE,47906,IN,,Unassigned,Quarterly,,,,,0,0,0,0,0
"MY CAT XAVIER FOR A BETTER TOMORROW, TOMORROW",C00523423,ANNA PAULINA HORNBERGER,2001 N ADAMS ST 404,,ARLINGTON,22201,VA,,Unassigned,Quarterly,,,,,0,0,0,0,0
SHEET METAL WORKERS LOCAL UNION 104 PAC,C00523530,JOSEPH MARACCINI,2610 CROW CANYON ROAD SUITE 300,,SAN RAMON,94583,CA,NONE,Unassigned,Quarterly,130834.38,75638.97,202858.72,9/30/12,0,0,0,0,0
SOY AMERICANO,C00523548,JEFFREY GARCIA,1924 FERDINAND STREET,,CORAL GABLES,33134,FL,,Unassigned,Quarterly,,,,,0,0,0,0,0
TEXAS FOR ALL,C00523407,ALEX JONES,14917 EL CAMINO REAL,PO BOX #590955,HOUSTON,77529,TX,,Unassigned,Quarterly,,,,,0,0,0,0,0
TEXAS WINS PAC,C00523415,PETE HAVEL,PO BOX 1093,,AUSTIN,78767,TX,,Unassigned,Quarterly,5379,0,0,10/17/12,0,0,0,0,0
ENERGY JOBS ALLIANCE,C00523597,MR JASON VAN BUREN,PO BOX 977,,WASHINGTON,20044,DC,NONE,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
"RAISING AWARENESS OF DIHYDROGEN-MONOXIDE FOR A BETTER TOMORROW, TOMORROW",C00523688,DRAKE BRUNS,7116 CALAMAR DRIVE,,FAYETTEVILLE,28314,NC,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
TEXANS RESTORING ETHICAL GOVRNANCE PAC,C00523712,REBECCA FOREST,401 CONGRESS AVENUE SUITE 1540,,AUSTIN,78701,TX,,Unassigned,Quarterly,,,,,0,0,0,0,0
AMERICANS FOR FLAT AND FAIR TAX EQUALITY,C00523787,SPENCER ZIMMERMAN,6403 CRESTWOOD CIRCLE,,MCFARLAND,53558,WI,,Unassigned,Quarterly,,,,,0,0,0,0,0
BUILD THE KEYSTONE PIPELINE,C00523779,SPENCER ZIMMERMAN,6403 CRESTWOOD CIRCLE,,MCFARLAND,53558,WI,,Unassigned,Quarterly,,,,,0,0,0,0,0
CHINA WATCH,C00523811,SPENCER ZIMMERMAN,6403 CRESTWOOD CIRCLE,,MCFARLAND,53558,WI,,Unassigned,Quarterly,,,,,0,0,0,0,0
NO MORE TIMELINE PAGES,C00523803,SPENCER ZIMMERMAN,6403 CRESTWOOD CIRCLE,,MCFARLAND,53558,WI,,Unassigned,Quarterly,,,,,0,0,0,0,0
STOP IRAN,C00523795,SPENCER ZIMMERMAN,6403 CRESTWOOD CIRCLE,,MCFARLAND,53558,WI,,Unassigned,Quarterly,,,,,0,0,0,0,0
UNLIMITED FUNDING FOR AMERICA,C00523761,MATTHEW CARR,1509 CORCORAN ST NW,,WASHINGTON,20009,DC,,Unassigned,Quarterly,,,,,0,0,0,0,0
ABOLISH RECALLS,C00523878,SPENCER ZIMMERMAN,6403 CRESTWOOD CIRCLE,,MCFARLAND,53558,WI,,Unassigned,Quarterly,,,,,0,0,0,0,0
AMERICANS FOR A STRONG NATIONAL DEFENSE,C00523852,SPENCER ZIMMERMAN,6403 CRESTWOOD CIRCLE,,MCFARLAND,53558,WI,,Unassigned,Quarterly,,,,,0,0,0,0,0
CITIZEN LEGISLATURE ACT,C00523845,SPENCER ZIMMERMAN,6403 CRESTWOOD CIRCLE,,MCFARLAND,53558,WI,,Unassigned,Quarterly,,,,,0,0,0,0,0
RUSSIA WATCH,C00523860,SPENCER ZIMMERMAN,6403 CRESTWOOD CIRCLE,,MCFARLAND,53558,WI,,Unassigned,Quarterly,,,,,0,0,0,0,0
SECURE AMERICA'S BORDERS,C00523837,SPENCER ZIMMERMAN,6403 CRESTWOOD CIRCLE,,MCFARLAND,53558,WI,,Unassigned,Quarterly,,,,,0,0,0,0,0
STOP NORTH KOREA,C00523829,SPENCER ZIMMERMAN,6403 CRESTWOOD CIRCLE,,MCFARLAND,53558,WI,,Unassigned,Quarterly,,,,,0,0,0,0,0
AMERICAN PEOPLE TODAY; THE,C00524066,LINDA SMITH,11322 RAVENEAUX DRIVE,,FRISCO,75033,TX,,Unassigned,Quarterly,,,,,0,0,0,0,0
HAPHAK AMERICA,C00524058,CESAR RUIZ,76316 FILBERT LANE,,TAMPA,33637,FL,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
KEEPING USA STRONG,C00524009,WILLIAM D HOUGH,286 PINE HILL ROAD,,WESTFORD,1886,MA,,Unassigned,Quarterly,,,,,0,0,0,0,0
DEFENDERS OF THE REPUBLIC,C00524173,,,,,,CA,,Unassigned,Quarterly,,,,,0,0,0,0,0
GREAT AMERICAN SUPER PAC; THE,C00524108,,,,,,MO,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
ONE TAX INITIATIVE LLC,C00524074,,,,,,VA,,Unassigned,Quarterly,,,,,0,0,0,0,0
PRIDE OF AMERICA,C00524116,,,,,,CA,,Unassigned,Quarterly,,,,,0,0,0,0,0
STUDENT VOICE PROJECT,C00524090,,,,,,WA,,Unassigned,Quarterly,,,,,0,0,0,0,0
SUPER NINJA PAC,C00524264,,,,,,NY,,Unassigned,Quarterly,,,,,0,0,0,0,0
EXPATRIATED PATRIOTS,C00524371,,,,,,CA,,Unassigned,Quarterly,,,,,0,0,0,0,0
GREAT LAKES SUPER POLITICAL ACTION COMMITTEE,C00524363,,,,,,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
PENNSYLVANIA PROSPERITY,C00524405,,,,,,PA,,Unassigned,Quarterly,,,,,0,0,0,0,0
RESTORE OUR HOPE PAC,C00524397,,,,,,TX,,Unassigned,Quarterly,,,,,0,0,0,0,0
AMERICANS FOR CONSERVATIVE LEADERSHIP,C00524470,,,,,,VA,,Unassigned,Quarterly,4546,4246,500.88,9/30/12,0,0,0,0,0
DEFENDERS OF AMERICA,C00524553,,,,,,CA,,Unassigned,Quarterly,,,,,0,0,0,0,0
DEMOCRATS AGAINST THE REELECTION OF BARACK OBAMA,C00524538,,,,,,WA,,Unassigned,Quarterly,,,,,0,0,0,0,0
POSITIVE VOLITION,C00524488,,,,,,CA,,Unassigned,Quarterly,,,,,0,0,0,0,0
SMALLBIZADVOCATES.ORG,C00508689,ROBERT J MOSS,11227 PLAYA BONITA AVENUE,,LAS VEGAS,89138,NV,,Unassigned,Quarterly,,,,,0,0,0,0,0
TRUTH FOR CITIZENS PAC,C00524595,,,,,,RI,,Unassigned,Quarterly,11000,0,375,9/30/12,0,0,0,0,0
UNITED STATES YOUTH CAUCUS; THE,C00524546,,,,,,CA,,Unassigned,Quarterly,,,,,0,0,0,0,0
CAN KICKS BACK;THE,C00524561,,,,,,DC,,Unassigned,Quarterly,,,,,0,0,0,0,0
I AM A PERSON,C00524702,,,,,,UT,,Unassigned,Quarterly,,,,,0,0,0,0,0
GENERAL ELECTOR,C00524785,,,,,,FL,,Unassigned,Quarterly,,,,,0,0,0,0,0
AMERICANS FOR REAL CHANGE PAC,C00524801,,,,,,VA,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
SPEND SMART AMERICA,C00524819,,,,,,VA,,Unassigned,Quarterly,,,,,0,0,0,0,0
DONT DRINK THE TEA PARTY,C00524868,,,,,,AZ,,Unassigned,Quarterly,,,,,0,0,0,0,0
MY SUPER CAMPAIGN,C00524850,,,,,,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
PEP RALLY,C00524900,,,,,,CA,,Unassigned,Quarterly,5977.5,4477.5,5839.96,10/17/12,0,0,0,0,0
DUMP WEST,C00525048,,,,,,FL,,Unassigned,Quarterly,,,,,0,0,0,0,0
420PAC.ORG,C00525105,JAMES AUGUSTINE OLIVEIRA JR,4137 W 161ST STREET,,LAWNDALE,90260,CA,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
BRINGING BACK OUR VALUES PAC,C00525279,,,,,,NY,,Unassigned,Quarterly,,,,,0,0,0,0,0
END - ERADICATE NATIONAL DEBT,C00525303,,,,,,NC,,Unassigned,Quarterly,,,,,0,0,0,0,0
FAT OLD MAN PAC; THE,C00525311,,,,,,OH,,Unassigned,Quarterly,,,,,0,0,0,0,0
FLYOVER SUPERPAC,C00525162,,,,,,IN,,Unassigned,Quarterly,,,,,0,0,0,0,0
NEW OPPORTUNITIES PAC,C00525196,,,,,,NY,,Unassigned,Quarterly,,,,,0,0,0,0,0
SOUND FROM THE GROUND,C00525329,,,,,,MD,,Unassigned,Quarterly,,,,,0,0,0,0,0
SPECIAL CORPORATION FOR ETHICS AND JUSTICE IN AMERICA,C90013186,,C/O JOHN DEREK GINSBERG,33 VILLAGE PKWY UNIT 122,CIRCLE PINES,55014,MN,,Unassigned,Quarterly,,,,,0,0,0,0,0
FAUX NEWS SUPER PAC; THE,C00525428,,,,,,CO,,Unassigned,Quarterly,,,,,0,0,0,0,0
SOVEREIGNTY MATTERS,C00525444,,,,,,CA,,Unassigned,Quarterly,,,,,0,0,0,0,0
HEARTLAND PROJECT; THE,C00525535,,,,,,IL,,Unassigned,Quarterly,10000,0,10000,11/26/12,0,0,0,0,0
SPECIAL CORPORATION FOR ETHICS AND JUSTICE IN AMERICA,C00525519,,,,,,MN,,Unassigned,Quarterly,,,,,0,0,0,0,0
CASCADIA PAC,C00525550,,,,,,OR,,Unassigned,Quarterly,0,0,0,11/26/12,0,0,0,0,0
MUSLIM AMERICAN VOTE,C00525634,,,,,,MD,,Unassigned,Quarterly,,,,,0,0,0,0,0
AMERICANS FOR BALANCE,C00525808,,,,,,CA,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
DEFEAT ROMNEY 2012,C00525832,,,,,,LA,,Unassigned,Quarterly,,,,,0,0,0,0,0
FIGHTIN' 9TH PAC,C00525667,,,,,,VA,,Unassigned,Quarterly,,,,,0,0,0,0,0
RACINE TEA PARTY PAC,C00519926,LORA LYNN HALBERSTADT,PO BOX 463,,STURTEVANT,53177,WI,,Unassigned,Quarterly,,,,,0,0,0,0,0
WORKING FOR WORKING AMERICANS,C00525782,,,,,,NV,,Backs Democrats,Quarterly,0,0,0,9/30/12,0,0,0,0,0
ZOMBIES OF TOMORROW,C00525741,,,,,,FL,,Unassigned,Quarterly,,,,,0,0,0,0,0
A CANTOR OUT OF TUNE,C00525998,,,,,,CA,,Unassigned,Quarterly,,,,,0,0,0,0,0
FIGHTBIGOTRY.COM,C00525907,,,,,,VA,,Unassigned,Quarterly,,,,,0,0,0,0,0
ALABAMA HORSE ASSOCIATION,C00526087,JULIE CARAMANTE,1504 S HOUSTON STREET,,KAUFMAN,75142,TX,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
AMERICA ON THE MOVE,C00526012,NANCY H WATKINS,610 S BOULEVARD,,TAMPA,33606,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
AMERICAN HORSE ASSOCIATION; THE,C00526079,JULIE CARAMANTE,1504 S HOUSTON STREET,,KAUFMAN,75142,TX,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
ARIZONA HORSE ASSOCIATION,C00526095,JULIE CARAMANTE,1504 S HOUSTON STREET,,KAUFMAN,75142,TX,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
MISSOURI HORSE ASSOCIATION,C00526111,JULIE CARAMANTE,1504 S HOUSTON STREET,,KAUFMAN,75142,TX,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
NEW MEXICO HORSE ASSOCIATION,C00526129,JULIE CARAMANTE,1504 S HOUSTON STREET,,KAUFMAN,75142,TX,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
OKLAHOMA HORSE ASSOCIATION ,C00526103,JULIE CARAMANTE,1504 S HOUSTON STREET,,KAUFMAN,75142,TX,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
TEXAS HORSE ASSOCIATION,C00526137,JULIE CARAMANTE,1504 S HOUSTON STREET,,KAUFMAN,75142,TX,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
IN OUR MOTHERS NAME,C00526244,,,,,,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
LEADER OF THE PAC,C00526202,,,,,,VA,,Unassigned,Quarterly,,,,,0,0,0,0,0
LEADERSHIP MATTERS,C00526277,,,,,,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
TEAM (TEAMSTERS EDUCATION AND MOBILIZATION),C00526269,,,,,,DC,,Unassigned,Quarterly,103118.63,21409.15,118944.65,10/17/12,0,0,0,0,0
AUTISM SUPER PAC; THE,C00526350,,,,,,VA,,Unassigned,Quarterly,60000,0,275.95,9/30/12,0,0,0,0,0
GARDEN STATE LIBERTY PAC,C00526327,,,,,,NJ,,Unassigned,Quarterly,,,,,0,0,0,0,0
PROLSRAEL PAC,C00526335,,,,,,DC,,Unassigned,Quarterly,,,,,0,0,0,0,0
COMMITTEE FOR JUSTICE & FAIRNESS PAC,C00526442,,,,,,DC,,Unassigned,Quarterly,200000,0,4304.25,9/30/12,0,0,0,0,0
AMERICAN CROSSWORDS,C00526590,,,,,,DC,,Unassigned,Quarterly,,,,,0,0,0,0,0
AMERICANS FOR AFFORDABLE HOUSING AND ASSISTING THE SHELTERLESS,C00526558,,,,,,NY,,Unassigned,Quarterly,,,,,0,0,0,0,0
AMERICANS FOR PRISON REFORM,C00526608,,,,,,NY,,Unassigned,Quarterly,,,,,0,0,0,0,0
"FOUNDATION FOR INNOVATION RESEARCH AND EDUCATION, THE",C00526541,,,,,,FL,,Unassigned,Quarterly,,,,,0,0,0,0,0
PEACEFUL AMERICANS AGAINST WAR VIOLENCE AND GUN PROLIFERATION,C00526566,,,,,,NY,,Unassigned,Quarterly,,,,,0,0,0,0,0
RESTORE AMERICAN LABOR FORCE,C00526574,,,,,,NY,,Unassigned,Quarterly,,,,,0,0,0,0,0
SECRETIVE POLITICS,C00526483,,,,,,TX,,Unassigned,Quarterly,,,,,0,0,0,0,0
ARKANSAS HORSE ASSOCIATION,C00526780,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
BUSINESS OWNERS FOR OBAMA,C00526624,,,,,,VA,,Unassigned,Quarterly,,,,,0,0,0,0,0
COLORADO HORSE ASSOCIATION,C00526830,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
CONNECTICUT HORSE ASSOCIATION,C00526871,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
DELAWARE HORSE ASSOCIATION,C00526962,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
FLORIDA HORSE ASSOCIATION,C00526905,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
GEORGIA HORSE ASSOCIATION,C00526749,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
